,2024,2025
2025-05-02,,0.01066824571338676
2025-05-05,,-0.008361509309544712
2025-05-06,,-0.002789039456282172
2025-05-07,,0.01612277655242922
2025-05-08,,-0.0075193250594173255
2025-05-09,,-0.05302319823272539
2025-05-12,,0.005767983478569549
2025-05-13,,-0.001839700717940096
2025-05-14,,0.04071845792415746
2025-05-15,,-0.05143091813104572
2025-05-16,,-0.0021545646533081553
2025-05-19,,-0.02604192368027758
2025-05-20,,0.02762738930522568
2025-05-21,,0.0417642257935521
2025-05-22,,-0.006279938828054166
2025-05-23,,-0.004866689384390721
2025-05-27,,0.06770860442527676
2025-05-28,,0.013238860107147976
2025-05-29,,-0.042792281125158094
2025-05-30,,-0.022069614821359773
2025-06-02,,0.023451980741568235
2025-06-03,,-0.004593474778679718
2025-06-04,,-0.030220653353352556
2025-06-05,,0.010279592658149372
2025-06-06,,0.025280330191754352
2025-06-09,,0.0262271919206975
2025-06-10,,0.014753555501849869
2025-06-11,,0.018291672612924748
2025-06-12,,0.012172404639623824
2025-06-13,,0.03021972041773735
2025-06-16,,0.020754190902506853
2025-06-17,,-0.005978741282432698
2025-06-18,,-0.005898080627022129
2025-06-20,,-0.022906340114916268
2025-06-23,,-0.013079317174401583
2025-06-24,,-0.019243176515306437
2025-06-25,,-0.010065311442587654
2025-06-26,,0.07454218582607358
2025-06-27,,-0.04757670981225198
2025-06-30,,0.03287816001653515
2025-07-01,,-0.015988381640265392
2025-07-02,,0.00960431403157036
2025-07-03,,0.01420089764847432
2025-07-07,,-0.013472983843433928
2025-07-08,,0.0005897077634366421
2025-07-09,,0.00018926245564609978
2025-07-10,,0.009352523710061678
2025-07-11,,-0.02232207315914092
2025-07-14,,3.0003345186602193e-05
2025-07-15,,-0.024912392479678247
2025-07-16,,0.006783462882572422
2025-07-17,,-0.0010899255518813655
2025-07-18,,-0.026378764665621002
2025-07-21,,0.018335249656163122
2025-07-22,,0.003167242051574648
2025-07-23,,-0.006370782164114797
2025-07-24,,0.02602893969919523
2025-07-25,,0.04369265372423908
2025-07-28,,0.010178917992261116
2025-07-29,,0.03529065915217494
2025-07-30,,-0.00312728441698501
2025-07-31,,0.010809941582183458
2025-08-01,,0.002132559606113804
2025-08-04,,-0.012112756033373417
2025-08-05,,-0.023758912501290863
2025-08-06,,-0.04158150289018614
2025-08-07,,-0.015643294804137287
2025-08-08,,0.008658969123033322
2025-08-11,,0.022039904692728873
2025-08-12,,0.00079048328135356
2025-08-13,,0.009902382491736028
2025-08-14,,0.004715882420258832
2025-08-15,,0.004872532886324665
2025-08-18,,-0.029586751467010397
2025-08-19,,-0.0021854049206322945
2025-08-20,,-0.0034531072737274404
2025-08-21,,-0.029782877112546458
2025-08-22,,0.017749214502504995
2025-08-25,,0.002008074498840995
2025-08-26,,0.003908612549417323
2025-08-27,,-0.010957375825365046
2025-08-28,,-0.0028588509298532183
2025-08-29,,-0.03825289131956583
2025-09-02,,0.02117203731508499
2025-09-03,,-0.008508372364354533
2025-09-04,,-0.032023317240204685
2025-09-05,,0.006474263973113514
2025-09-08,,0.007992762076989013
2025-09-09,,0.021910490874908373
2025-09-10,,0.009047766196279672
2025-09-11,,0.003694135951430366
2025-09-12,,0.009402422358695484
2025-09-15,,-0.008465026142680965
2025-09-16,,0.022911377846401904
2025-09-17,,-0.13552940757578358
2025-09-18,,-0.0260435263386945
2025-09-19,,0.031167380026903613
2025-09-22,,0.004926161221477265
2025-09-23,,0.011027683672221067
2025-09-24,,0.003746578119483923
2025-09-25,,0.008476559028350372
2025-09-26,,-0.001606600892607446
2025-09-29,,0.02107832364872919
2025-09-30,,0.007301020984320561
